target,tier,model,scheme,n,rmse_log,mae_log,r2_log,medape,r2_fold_mean,r2_fold_sd,rmse_fold_mean,rmse_fold_sd,r2_main_stem,rmse_main_stem,r2_reservoir,rmse_reservoir,r2_treatment,rmse_treatment,r2_tributary,rmse_tributary,best_params,seconds
THMFP,2,xgb,random,1386,0.1719984365648136,0.1150841192759183,0.6204825713438351,0.1652718936637303,0.6182563719985921,0.0938989012768288,0.1702398320914554,0.0243233303534063,0.5488047937527948,0.1568867132326938,0.2831365446795804,0.2643947172748518,0.5780907122791177,0.1564683125929477,0.5837539277223396,0.1580327708116627,"{'colsample_bytree': 0.652, 'learning_rate': 0.041, 'max_depth': 3.0, 'min_child_weight': 5.0, 'n_estimators': 353.0, 'reg_lambda': 9.479, 'subsample': 0.641}",3.8
THMFP,3,ridge,random,1386,0.1657408671252413,0.1127432942406952,0.6475950989763726,0.1740528595075422,0.6464569788451938,0.0649892503195782,0.1645483619525992,0.0195277558616128,0.6067143097100265,0.1464731423268045,0.409550585332405,0.2399528436621151,0.5416702133838611,0.1630819506406022,0.6084458269971631,0.1532738297233055,,0.1
THMFP,3,hgb,random,1386,0.1493640237213923,0.0981715909945824,0.7137966350833844,0.1540615728790321,0.7140256251280148,0.0675393027004975,0.1476929472172498,0.0220235945302841,0.6826546368104628,0.1315739778443799,0.5398037864186722,0.2118390759748631,0.5818935611914491,0.1557615584978014,0.7651081331368207,0.1187151294078358,"{'l2_regularization': 0.415, 'learning_rate': 0.037, 'max_depth': 5.0, 'max_iter': 431.0, 'min_samples_leaf': 28.0}",5.7
THMFP,3,xgb,random,1386,0.1490466105215035,0.0969984989647701,0.7150117630190135,0.1434149184351106,0.7152536307246727,0.071292526961558,0.1472005200608423,0.023132555383537,0.6772535348290052,0.1326889243477286,0.5118401537817708,0.2181803226319514,0.6105167012288866,0.1503354063867018,0.7575697439197795,0.1206050493137598,"{'colsample_bytree': 0.652, 'learning_rate': 0.041, 'max_depth': 3.0, 'min_child_weight': 5.0, 'n_estimators': 353.0, 'reg_lambda': 9.479, 'subsample': 0.641}",4.7
THMFP,1,ridge,month,693,0.2010585944372339,0.1431938817637772,0.4814053756220821,0.2297418813950987,0.3920596974211974,0.3302256908098501,0.1874312889193257,0.0696484500281066,0.3731665939302436,0.1849183429034737,0.2464687783573182,0.2710723236706442,0.296456888669714,0.2020515626591669,0.4766147725159522,0.1772077905366611,,0.0
THMFP,1,hgb,month,693,0.2141419668585192,0.1543379478281726,0.4117169966994489,0.2640809700066027,0.2970365379450494,0.2873513281682626,0.2030340047291375,0.0647303577438598,0.3235274195413369,0.1921007344323573,0.0140233341094251,0.3100757989667325,0.2568917023847024,0.2076552480371289,0.3472573095188095,0.1978987673266337,"{'l2_regularization': 0.64, 'learning_rate': 0.028, 'max_depth': 2.0, 'max_iter': 131.0, 'min_samples_leaf': 15.0}",2.9
THMFP,1,xgb,month,693,0.2171242643743714,0.1550503085458236,0.395217178968321,0.2527381242103457,0.2477970276388242,0.2777316948049226,0.208181560945555,0.058745965072277,0.2638615846908526,0.2003935169120305,-0.0032154167975326,0.3127747255167581,0.2748403367555174,0.2051321233047753,0.3312831911217013,0.2003056503636538,"{'colsample_bytree': 0.908, 'learning_rate': 0.026, 'max_depth': 3.0, 'min_child_weight': 5.0, 'n_estimators': 265.0, 'reg_lambda': 0.624, 'subsample': 0.921}",2.6
THMFP,2,ridge,month,693,0.2004467667967497,0.1444614574550553,0.4845567729921134,0.2420433894783457,0.4202403640333461,0.3085183123585632,0.1845452454902669,0.0751193665700345,0.3507047007551404,0.1882023559052068,0.2799795712595421,0.2649762576946076,0.3120800086324646,0.1997955547265217,0.485988188331422,0.1756137957525397,,0.0
THMFP,2,hgb,month,693,0.2229257384005168,0.1656410420078352,0.3624662889495831,0.2939085171623174,0.233713089269568,0.3626118401134452,0.2096674940105972,0.0719289763001578,0.2749295571894725,0.1988813352529346,0.0655683319471519,0.3018619179093733,0.0965032387979627,0.2289708287857453,0.3372342569455556,0.1994123753603601,"{'l2_regularization': 0.64, 'learning_rate': 0.028, 'max_depth': 2.0, 'max_iter': 131.0, 'min_samples_leaf': 15.0}",3.2
THMFP,2,xgb,month,693,0.2291354066026161,0.1657385124213437,0.3264542009748478,0.2631996173901057,0.2156727297207178,0.4635219662755511,0.2117514127957594,0.0840002964716985,0.1854675713587715,0.21079393733765,-0.0217546408862785,0.3156515035674322,0.1410880023659659,0.223249857668499,0.2416942360134822,0.2133016716471808,"{'colsample_bytree': 0.684, 'learning_rate': 0.029, 'max_depth': 2.0, 'min_child_weight': 5.0, 'n_estimators': 484.0, 'reg_lambda': 0.856, 'subsample': 0.698}",2.9
THMFP,3,ridge,month,693,0.1810458754158858,0.1236727558137907,0.5795058127032534,0.1882972916665904,0.5235544902512501,0.243985831648033,0.1675668578422963,0.0659177773330001,0.5640713328734717,0.1542096818102857,0.2840485670882252,0.2642264769712262,0.4009191038510346,0.1864487995358991,0.5856491255815561,0.1576725931640718,,0.0
THMFP,3,hgb,month,693,0.1945020657711296,0.1393780763823295,0.5146766766572722,0.2380128412450926,0.4119483873969694,0.1989574753640998,0.1855254956520117,0.0550406912587456,0.4703430725471366,0.1699813423961238,0.2756257070209337,0.2657761876950126,0.2768522909965681,0.2048473562841605,0.5391097634771964,0.1662918000955954,"{'l2_regularization': 0.594, 'learning_rate': 0.028, 'max_depth': 4.0, 'max_iter': 153.0, 'min_samples_leaf': 12.5}",4.4
THMFP,3,xgb,month,693,0.1912530825388372,0.1312891885864606,0.5307550432768713,0.2114619723384288,0.4548951511539354,0.2580713274263138,0.1787488593072102,0.0651328087173417,0.4521940474581314,0.1728690716682376,0.2980847861685245,0.2616235779487132,0.3333538821468095,0.1966819626046875,0.5743076043878492,0.1598159153476742,"{'colsample_bytree': 0.822, 'learning_rate': 0.027, 'max_depth': 3.0, 'min_child_weight': 4.0, 'n_estimators': 418.5, 'reg_lambda': 1.525, 'subsample': 0.691}",3.6
THMFP,1,ridge,site,693,0.1871929224558554,0.1301534675384344,0.5504670032475334,0.1979337911308674,0.524056826239511,0.1159160532210042,0.185732381353522,0.0231005127588617,0.4376027682346962,0.1751561995079286,0.3616176174721534,0.2495025562599707,0.4091939321079711,0.1851566564167144,0.5319854180902244,0.1675721233511523,,0.0
THMFP,1,hgb,site,693,0.1825732415986053,0.1248393184620282,0.5723810138986735,0.1766927021748342,0.5469962315485929,0.1463425097362448,0.1803408150857026,0.0283987609194616,0.4845487899361822,0.1676863486051921,0.2002817770863642,0.2792563446660125,0.5371344980808178,0.1638869084300248,0.5087528348017333,0.1716809505067544,"{'l2_regularization': 0.217, 'learning_rate': 0.027, 'max_depth': 6.0, 'max_iter': 153.0, 'min_samples_leaf': 10.0}",5.2
THMFP,1,xgb,site,693,0.1820850664499424,0.1239469766263533,0.5746647425794768,0.1784587084574795,0.5497517606059824,0.1495406213624016,0.1797864579158555,0.0283635155682737,0.4902217450951461,0.1667610340328438,0.1379279482445847,0.2899387990310612,0.5826257098261565,0.1556251212537654,0.4843885399498702,0.1758868459969509,"{'colsample_bytree': 0.652, 'learning_rate': 0.041, 'max_depth': 3.0, 'min_child_weight': 5.0, 'n_estimators': 353.0, 'reg_lambda': 9.479, 'subsample': 0.641}",3.6
THMFP,2,ridge,site,693,0.1870185617383095,0.1364188074797593,0.5513040476286029,0.2205652984406899,0.5303899719914223,0.0813973084857309,0.1857462079502235,0.0223964252467508,0.4319855361909642,0.1760287575235668,0.3698280524820417,0.2478928988213231,0.4242573456515582,0.182781004166321,0.507184331955971,0.1719548120914351,,0.1
THMFP,2,hgb,site,693,0.1807461757566171,0.1298936072701773,0.5808968154783201,0.2227969701716247,0.5649031108857566,0.1199833868691421,0.1783103720069708,0.0297644850387756,0.494150699283732,0.1661171621385304,0.2490022943493232,0.2706162415074665,0.5251643462484834,0.165992519419915,0.5297013695870547,0.1679805262449354,"{'l2_regularization': 0.415, 'learning_rate': 0.037, 'max_depth': 5.0, 'max_iter': 265.0, 'min_samples_leaf': 15.0}",6.0
THMFP,2,xgb,site,693,0.1800884765998899,0.1272687883398386,0.583941331397521,0.1957204284818502,0.5679327513574222,0.1193966702942112,0.1776222289525861,0.030097267863364,0.4968963457507871,0.1656657237486198,0.2124208361749967,0.2771288003995292,0.546516001770126,0.1622175506381306,0.5468483908430812,0.1648898199300612,"{'colsample_bytree': 0.652, 'learning_rate': 0.041, 'max_depth': 3.0, 'min_child_weight': 5.0, 'n_estimators': 353.0, 'reg_lambda': 9.479, 'subsample': 0.641}",4.2
THMFP,3,ridge,site,693,0.1668145500373479,0.1146877437855625,0.6430144944880565,0.170452641268725,0.631330823139345,0.1184334889065425,0.1639261692599994,0.030859368394508,0.6013265881226608,0.1474730161736091,0.3964922824668347,0.242591716233402,0.5365083961260417,0.1639977130131533,0.6092865533739025,0.1531091901842665,,0.1
